governo,descricao,codOrgao,orgao,codUnidade,unidade,codPrograma,programa,codAcao,acao,segmento,codLocalizador,produto,medidaProvisoria,origemDado,link,tipo,anunciado,empenhado,liquidado,pago,dataInformacao
federal,Análise de crédito com aval da União para municípios,25000,Ministério da Fazenda,,,,,GF07,Análise de crédito com aval da União para municípios,Assistência aos municípios,LOCAGF07,17 projetos em 14 municípios,,Comunicação Governo Federal,,Recursos novos,1.800.000.000,1.800.000.000,,,
federal,Apoio Financeiro aos Municípios,73000,"Transferências a Estados, Distrito Federal e Municípios",73101,Recursos sob Supervisão do Ministério da Fazenda,0903,Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica,00WF,Apoio Financeiro aos Municípios do Estado do Rio Grande do Sul com Estado de Calamidade Pública Reconhecido pelo Poder Executivo Federal,Assistência aos municípios,00WF6500,Não especificado,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,189.856.138,,,,
federal,Suspensão pagamento de dívidas,25000,Ministério da Fazenda,,,,,GF06,Suspensão pagamento de dívidas,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF06,Não especificado,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,300.000.000,,,,
federal,Subvenção Econômica em Operações de Investimento Rural e Agroindustrial,74000,Operações Oficiais de Crédito,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional - Ministério da Fazenda,1144,Agropecuária Sustentável,0301,"Subvenção Econômica em Operações de Investimento Rural e Agroindustrial (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,03016501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,400.000.000,,,,
federal,FGI para Pequenas e Médias Empresas no âmbito do Programa Emergencial de Acesso a Crédito,71000,Encargos Financeiros da União,71101,Recursos sob Supervisão do Ministério da Fazenda,0909,Operações Especiais: Outros Encargos Especiais,00ED,Integralização de cotas do Fundo Garantidor para Investimentos - FGI para Pequenas e Médias Empresas no âmbito do Programa Emergencial de Acesso a Crédito,Assistência Empresarial ou Auxílio ao Produtor Rural,00ED6501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,450.000.000,,,,
federal,Subvenção Econômica em Operações no âmbito do Pronaf,74000,Operações Oficiais de Crédito,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional - Ministério da Fazenda,1191,Agricultura Familiar e Agroecologia,0281,"Subvenção Econômica em Operações no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,02816502,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,600.000.000,,,,
federal,Autoriza a União a aumentar a sua participação no Fundo Garantidor de Operações - FGO para a cobertura das operações contratadas no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf e do Programa Nacional de Apoio ao Médio Produtor Rural - Pronamp,,,,,,,GF14,Aumento do FGO do Programa Nacional de Fortalecimento ,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF14,Não especificado,MP Nº 1.226,Medida Provisória,https://www.in.gov.br/web/dou/-/medida-provisoria-n-1.226-de-29-de-maio-de-2024-562744504,Recursos novos,600.000.000,,,,
federal,Subvenção Econômica em Operações no âmbito do Pronampe,74000,Operações Oficiais de Crédito,74120,"Recursos sob Supervisão do Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",0909,Operações Especiais: Outros Encargos Especiais,00WB,"Subvenção Econômica em Operações no âmbito do Programa Nacional de Apoio a Microempresas e Empresas de Pequeno Porte - PRONAMPE (Medida Provisória nº 1.216, de 2024)",Assistência Empresarial ou Auxílio ao Produtor Rural,00WB6500,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,1.000.000.000,,,,
federal,Nova linha de crédito,24000,"Ministério da Ciência, Tecnologia e Inovação",20502,Financiadora de Estudos e Projetos - Finep,,,GF03,Nova linha de crédito FINEP,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF03,Não especificado,,Comunicação Governo Federal,https://www.gov.br/secom/pt-br/assuntos/noticias/2024/05/presidente-lula-anuncia-r-15-bilhoes-em-linhas-de-credito-para-empresas-do-rio-grande-do-sul,Recursos novos,1.500.000.000,,,,
federal,Dispõe sobre a concessão de subvenção econômica nas operações de crédito rural,22000,Ministério da Agricultura e Pecuária,22101,Ministério da Agricultura e Pecuária - Administração Direta,1144,Agropecuária Sustentável,0299,"Subvenção Econômica nas Aquisições do Governo Federal e na Formação de Estoques Reguladores e Estratégicos - AGF (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,02996502,Não especificado,MP Nº 1.225,Medida provisória e Portal da Transparência,,Recursos novos,1.920.514.000,,,,
federal,Suspensão do recolhimento do FGTS por até quatro meses,40000,Ministério do Trabalho e Emprego,,,,,GF10,Suspensão do recolhimento do FGTS por até quatro meses,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF10,Não especificado,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,2.500.000.000,,,,
federal,Projeção de liberação em linha de crédito Pronaf e Pronamp,,,,,,,GF13,Projeção linha de crédito Pronaf e Pronamp,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF13,Não especificado,,Comunicação Governo Federal,,Linha de crédito,3.000.000.000,110.200.000,110.200.000,110.200.000,
federal,FGO Pronampe,71000,Encargos Financeiros da União,71101,Recursos sob Supervisão do Ministério da Fazenda,0909,Operações Especiais: Outros Encargos Especiais,00EE,Integralização de Cotas no Fundo Garantidor de Operações (FGO) para o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe),Assistência Empresarial ou Auxílio ao Produtor Rural,00EE6501,Operação realizada (unidade): 1,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,4.500.000.000,,,,
federal,Projeção de liberação em linha de crédito por meio do FGI para Pequenas e Médias Empresas no âmbito do Programa Emergencial de Acesso a Crédito,,,,,,,GF11,Projeção linha de crédito FGI para Pequenas e Médias Empresas,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF11,Não especificado,,Comunicação Governo Federal,,Linha de crédito,4.550.000.000,,,,
federal,Prorrogação de recolhimento de Tributos Federais por até 3 meses,25000,Ministério da Fazenda,,,,,GF05,Prorrogação de recolhimento de Tributos Federais por até 3 meses,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF05,Não especificado,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,4.800.000.000,,,,
federal,Utilização do superávit financeiro do Fundo Social como fonte de recursos para a disponibilização de linhas de financiamento a pessoas jurídicas e físicas localizadas em ente federativo em estado de calamidade pública,,,,,,,GF15,Fundo Social como fonte de recursos para linhas de financiamento,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF15,Não especificado,MP Nº 1.226,Medida Provisória,https://www.in.gov.br/web/dou/-/medida-provisoria-n-1.226-de-29-de-maio-de-2024-562744504,Recursos novos,15.000.000.000,,,,
federal,Projeção de liberação em linha de crédito Pronampe,,,,,,,GF12,Projeção linha de crédito Pronampe,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF12,Não especificado,,Comunicação Governo Federal,,Linha de crédito,25.500.000.000,1.084.006.781,1.084.006.781,1.084.006.781,
federal,"Apoio à Organização, à Gestão e à Vigilância Social no Território, no âmbito do SUAS",55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55101,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Adm. Direta",5131,Proteção Social pelo Sistema Único de Assistência Social (SUAS),8893,"Apoio à Organização, à Gestão e à Vigilância Social no Território, no âmbito do Sistema Único de Assistência Social - SUAS",Assistência Social,88936501,Ente federativo apoiado (unidade): 435,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,3.000.000,,,,
federal,Apoio aos Equipamentos de Segurança Alimentar e Nutricional,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55101,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Adm. Direta",5133,Segurança Alimentar e Nutricional e Combate à Fome,8929,Apoio aos Equipamentos de Segurança Alimentar e Nutricional,Assistência Social,89296500,Equipamento apoiado (unidade): 60,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,5.000.000,,,,
federal,Ações de Proteção Social Básica,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55901,Fundo Nacional de Assistência Socia,5131,Proteção Social pelo Sistema Único de Assistência Social (SUAS),219E,Ações de Proteção Social Básica,Assistência Social,219E6500,Ente federativo apoiado (unidade): 435,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,11.663.310,,,,
federal,Valor destinado à administração da CONAB,49000,Ministério do Desenvolvimento Agrário e Agricultura Familiar,49202,Companhia Nacional de Abastecimento - CONAB,0032,Programa de Gestão e Manutenção do Poder Executivo,2000,Administração da Unidade,Assistência Social,20006503,Não especificado,MP Nº 1.225,Medida provisória e Portal da Transparência,,Recursos novos,20.000.000,,,,
federal,Aquisição e Distribuição de Alimentos da Agricultura Familiar para Promoção da Segurança Alimentar e Nutricional,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55101,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Adm. Direta",5133,Segurança Alimentar e Nutricional e Combate à Fome,2798,Aquisição e Distribuição de Alimentos da Agricultura Familiar para Promoção da Segurança Alimentar e Nutricional,Assistência Social,27986501,Família agricultora beneficiada (unidade): 1.333,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,20.000.000,,,,
federal,Distribuição de Alimentos a Grupos Populacionais Tradicionais e Específicos e a Famílias em Situação de Insegurança Alimentar e Nutricional Advindas de Situações de Emergência ou Calamidade Pública,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55101,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Adm. Direta",5133,Segurança Alimentar e Nutricional e Combate à Fome,2792,Distribuição de Alimentos a Grupos Populacionais Tradicionais e Específicos e a Famílias em Situação de Insegurança Alimentar e Nutricional Advindas de Situações de Emergência ou Calamidade Pública,Assistência Social,27926502,Família beneficiada (unidade): 100.000,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,30.664.530,,,,
federal,Ações de Proteção Social Especial,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55901,Fundo Nacional de Assistência Socia,5131,Proteção Social pelo Sistema Único de Assistência Social (SUAS),219F,Ações de Proteção Social Especial,Assistência Social,219F6501,Ente federativo apoiado (unidade): 435,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,86.374.566,,,,
federal,Dispõe sobre a concessão de subvenção econômica nas operações de crédito rural,22000,Ministério da Agricultura e Pecuária,22101,Ministério da Agricultura e Pecuária - Administração Direta,1144,Agropecuária Sustentável,0299,"Subvenção Econômica nas Aquisições do Governo Federal e na Formação de Estoques Reguladores e Estratégicos - AGF (Lei nº 8.427, de 1992)",Assistência Social,02996502,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,100.000.000,,,,
federal,Antecipação pagamento BPC,33000,Ministério da Previdência Social,55901,Fundo Nacional de Assistência Social,,,00IN,Benefícios de Prestação Continuada (BPC) à pessoa com dficiência e da Renda Mensal Vitalícia (RMV) por invalidez,Assistência Social,LOCA00IN,Beneficiários: 95.109,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,134.000.000,134.000.000,134.000.000,134.000.000,
federal,Adiantamento do Bolsa Família em maio,55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",55000,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto",5128,Bolsa Família: Proteção social por meio da transferência de renda e da articulação de políticas públicas,88442,Transferência direta e condicionada de renda às famílias beneficiárias do programa Bolsa Família,Assistência Social,LOCA8844,Família beneficiada (unidade): 641.422,,Comunicação Governo Federal,https://www.gov.br/mds/pt-br/noticias-e-conteudos/desenvolvimento-social/noticias-desenvolvimento-social/bolsa-familia-e-pago-nesta-quarta-feira-29-05-a-mais-de-21-6-mil-familias-do-rio-grande-do-sul-incluidas-no-programa-nos-ultimos-dias,Antecipação de benefícios ou adiamento de tributos,432.520.000,432.520.000,432.520.000,432.520.000,
federal,Adiantamento da restituição do Imposto de Renda da Pessoas Físicas,25000,Ministério da Fazenda,,,,,GF04,Adiantamento da restituição do Imposto de Renda da Pessoas Físicas,Assistência Social,LOCAGF04,Beneficiados: 900 mil pessoas,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,1.100.000.000,1.100.000.000,1.100.000.000,1.100.000.000,
federal,Medida para ajudar a salvar os empregos no RS: auxílio financeiro de 2 parcelas do salário-mínimo,40000,Ministério do Trabalho e Emprego,,,,,GF09,Auxílio financeiro de 2 parcelas do salário-mínimo,Assistência Social,LOCAGF09,Trabalhadores beneficiados: 434.253,,Comunicação Governo Federal,,Recursos novos,1.200.000.000,0,0,0,
federal,Auxílio Recosntrução,53000,Ministério da Integração e do Desenvolvimento Regional,53101,Ministério da Integração e do Desenvolvimento Regional - Administração Direta,2318,Gestão de Riscos e de Desastres,00WD,Apoio Financeiro destinado às famílias desalojadas ou desabrigadas devido aos eventos climáticos ocorridos no Estado do Rio Grande do Sul - Auxílio Reconstrução,Assistência Social,00WD6500,Família assistida (unidade): 240.000,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,1.226.115.000,,,,
estadual,Ações de resposta e de restabelecimento dos municípios,,,,,,,GE01,Fundo a Fundo da Defesa Civil,Defesa Civil,LOCAGE01,Municípios beneficiados: 268,,Comunicação Governo Estadual,,Recursos novos,148.000.000,148.000.000,55.950.000,55.950.000,07/06/2024
estadual,Valor destinado ao custeio de ações e serviços públicos de saúde,,,,,,,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,Saúde,LOCAGE02,Hospitais atentidos: 246,,Comunicação Governo Estadual,,Recursos novos,45.100.000,,,,
estadual,Recurso voltado para os municípios contratarem novas equipes multiprofissionais de Saúde Mental na Atenção Primária,,,,,,,GE03,Equipes de saúde mental,Saúde,LOCAGE03,185 equipes para 97 municípios,,Comunicação Governo Estadual,,Recursos novos,12.000.000,,,,
estadual,Recursos para ampliação e qualificação dos serviços e ações no âmbito da Atenção Primária à Saúde,,,,,,,GE04,Custeio para atenção primária,Saúde,LOCAGE04,Municípios atendidos: 497,,Comunicação Governo Estadual,,Recursos novos,12.700.000,,,,
estadual,Garantir segurança na conservação de vacinas e medicamentos e aquisição de equipamentos necessários à retomada dos serviços e atendimentos em estabelecimentos de saúde,,,,,,,GE05,Equipamentos e Câmaras Frias para estabelecimentos de saúde,Saúde,LOCAGE05,100 câmaras frias e 54 municípios com danos em equipamentos/mobiliários,,Comunicação Governo Estadual,,Recursos novos,16.300.000,,,,
federal,Apoio a Iniciativas e Projetos de Inclusão Digital da comunicação,41000,Ministério das Comunicações,41101,Ministério das Comunicações - Administração Direta,2305,Comunicações para Inclusão e Transformação,20V8,Apoio a Iniciativas e Projetos de Inclusão Digital,Comunicação,20V86500,Iniciativa apoiada (unidade): 1,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,12.140.205,,,,
federal,Operação da Infraestrutura da Rede de Serviço de Comunicação da Telebras,41000,Ministério das Comunicações,41260,Telecomunicações Brasileiras S.A. - TELEBRAS,2305,Comunicações para Inclusão e Transformação,21C8,Operação da Infraestrutura da Rede de Serviço de Comunicação,Comunicação,21C86500,Serviço prestado (horas por ano): 5.880,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,15.721.179,,,,
estadual,Valor liberado ao Daer para aplicação emergencial de desobstrução e recuperação de rodovias e pontes estaduais,,,,,,,GE06,Recurso Inicial para conservação de estradas,Transporte,LOCAGE06,100 trechos de 40 rodovias e pontes estaduais,,Comunicação Governo Estadual,,Recursos novos,117.700.000,,,,
federal,Ações de Proteção e Defesa Civil,53000,Ministério da Integração e do Desenvolvimento Regional,53101,Ministério da Integração e do Desenvolvimento Regional - Administração Direta,2318,Gestão de Riscos e de Desastres,22BO,Ações de Proteção e Defesa Civil,Defesa Civil,22BO6504,População beneficiada (unidade): 10.590.000,MP Nº 1.218 e MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,829.710.000,,,,
estadual,"Limpeza de estradas vicinais, desassoreamento de rios, arroios e riachos e reconstrução de cabeceiras de pontes",,,,,,,GE07,Horas-máquina em estradas vicinais,transporte,LOCAGE07,Não especificado,,Comunicação Governo Estadual,,Recursos novos,40.000.000,,,,
federal,Reestruturação e Modernização da UFCSPA,26000,Ministério da Educação,26284,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,5113,"Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade",8282,Reestruturação e Modernização das Instituições Federais de Ensino Superior,Educação,82826500,Projeto apoiado (unidade): 1,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,450.000,,,,
federal,Funcionamento da UFPEL,26000,Ministério da Educação,26278,Fundação Universidade Federal de Pelotas,5113,"Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade",20RK,Funcionamento de Instituições Federais de Ensino Superior,Educação,20RK6502,Estudante matriculado (unidade): 5.771,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,1.180.000,,,,
federal,Funcionamento da UFRGS,26000,Ministério da Educação,26244,Universidade Federal do Rio Grande do Sul,5113,"Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade",20RK,Funcionamento de Instituições Federais de Ensino Superior,Educação,20RK6502,Estudante matriculado (unidade): 32.471,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,1.550.000,,,,
federal,Funcionamento da Unipampa,26000,Ministério da Educação,26266,Fundação Universidade Federal do Pampa,5113,"Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade",20RK,Funcionamento de Instituições Federais de Ensino Superior,Educação,20RK6502,Estudante matriculado (unidade): 5.880,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,1.880.000,,,,
federal,Funcionamento da Furg,26000,Ministério da Educação,26273,Fundação Universidade Federal do Rio Grande,5113,"Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade",20RK,Funcionamento de Instituições Federais de Ensino Superior,Educação,20RK6502,Estudante matriculado (unidade): 5.147,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,2.000.000,,,,
federal,Funcionamento IFFar,26000,Ministério da Educação,26420,Instituto Federal Farroupilha,5112,Educação Profissional e Tecnológica que Transforma,20RL,"Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",Educação,20RL6500,Estudante matriculado (unidade): 4.787,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,2.202.020,,,,
federal,Funcionamento IFSul,26000,Ministério da Educação,26436,Instituto Federal Sul-rio-grandense,5112,Educação Profissional e Tecnológica que Transforma,20RL,"Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",Educação,20RL6500,Estudante matriculado (unidade): 4.544,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,2.384.940,,,,
